,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG
0,41.0,880.0,129.0,322.0,126.0,8.3252
1,21.0,7099.0,1106.0,2401.0,1138.0,8.3014
2,52.0,1467.0,190.0,496.0,177.0,7.2574
3,52.0,1274.0,235.0,558.0,219.0,5.6431
4,52.0,1627.0,280.0,565.0,259.0,3.8462
5,52.0,919.0,213.0,413.0,193.0,4.0368
6,52.0,2535.0,489.0,1094.0,514.0,3.6591
7,52.0,3104.0,687.0,1157.0,647.0,3.12
8,42.0,2555.0,665.0,1206.0,595.0,2.0804
9,52.0,3549.0,707.0,1551.0,714.0,3.6912
10,52.0,2202.0,434.0,910.0,402.0,3.2031
11,52.0,3503.0,752.0,1504.0,734.0,3.2705
12,52.0,2491.0,474.0,1098.0,468.0,3.075
13,52.0,696.0,191.0,345.0,174.0,2.6736
14,52.0,2643.0,626.0,1212.0,620.0,1.9167
15,50.0,1120.0,283.0,697.0,264.0,2.125
16,52.0,1966.0,347.0,793.0,331.0,2.775
17,52.0,1228.0,293.0,648.0,303.0,2.1202
18,50.0,2239.0,455.0,990.0,419.0,1.9911
19,52.0,1503.0,298.0,690.0,275.0,2.6033
20,40.0,751.0,184.0,409.0,166.0,1.3578
21,42.0,1639.0,367.0,929.0,366.0,1.7135
22,52.0,2436.0,541.0,1015.0,478.0,1.725
23,52.0,1688.0,337.0,853.0,325.0,2.1806
24,52.0,2224.0,437.0,1006.0,422.0,2.6
25,41.0,535.0,123.0,317.0,119.0,2.4038
26,49.0,1130.0,244.0,607.0,239.0,2.4597
27,52.0,1898.0,421.0,1102.0,397.0,1.808
28,50.0,2082.0,492.0,1131.0,473.0,1.6424
29,52.0,729.0,160.0,395.0,155.0,1.6875
30,49.0,1916.0,447.0,863.0,378.0,1.9274
31,52.0,2153.0,481.0,1168.0,441.0,1.9615
32,48.0,1922.0,409.0,1026.0,335.0,1.7969
33,49.0,1655.0,366.0,754.0,329.0,1.375
34,51.0,2665.0,574.0,1258.0,536.0,2.7303
35,49.0,1215.0,282.0,570.0,264.0,1.4861
36,48.0,1798.0,432.0,987.0,374.0,1.0972
37,52.0,1511.0,390.0,901.0,403.0,1.4103
38,52.0,1470.0,330.0,689.0,309.0,3.48
39,52.0,2432.0,715.0,1377.0,696.0,2.5898
40,52.0,1665.0,419.0,946.0,395.0,2.0978
41,51.0,936.0,311.0,517.0,249.0,1.2852
42,49.0,713.0,202.0,462.0,189.0,1.025
43,52.0,950.0,202.0,467.0,198.0,3.9643
44,52.0,1443.0,311.0,660.0,292.0,3.0125
45,52.0,1656.0,420.0,718.0,382.0,2.6768
46,50.0,1125.0,322.0,616.0,304.0,2.026
47,43.0,1007.0,312.0,558.0,253.0,1.7348
48,40.0,624.0,195.0,423.0,160.0,0.9506
49,40.0,946.0,375.0,700.0,352.0,1.775
50,21.0,896.0,453.0,735.0,438.0,0.9218
51,43.0,1868.0,456.0,1061.0,407.0,1.5045
52,41.0,3221.0,853.0,1959.0,720.0,1.1108
53,52.0,1630.0,456.0,1162.0,400.0,1.2475
54,52.0,1170.0,235.0,701.0,233.0,1.6098
55,52.0,945.0,243.0,576.0,220.0,1.4113
56,52.0,1238.0,288.0,622.0,259.0,1.5057
57,52.0,1489.0,335.0,728.0,244.0,0.8172
58,52.0,1387.0,341.0,1074.0,304.0,1.2171
59,2.0,158.0,43.0,94.0,57.0,2.5625
